latitude,longitude,R_epi_km,R_hyp_km,vs30_m_s,site_class,pga_cm_s2,pga_g,log10_pga,magnitude_term,distance_term,site_term,sof_term,sigma,magnitude_valid,distance_valid,extrapolated,mmi,gmice_model
36.895583,54.751251,18.509932093361712,21.038478702151018,298.0,3,138.71415361111096,0.1414007682070448,2.142120776297507,3.9330000000000003,-1.821879223702493,0.054,-0.023,0.267,True,True,False,6.151696379832389,Ahmadzadeh_refined
36.895583,54.752374288860416,18.559047184799308,21.081703735884517,298.0,3,138.3633391155687,0.14104315913921375,2.1410210342758846,3.9330000000000003,-1.8229789657241156,0.054,-0.023,0.267,True,True,False,6.149862090226396,Ahmadzadeh_refined
36.895583,54.75349757772083,18.608572371832505,21.125315754272833,298.0,3,138.01087803544,0.1406838715957594,2.13991331889817,3.9330000000000003,-1.8240866811018301,0.054,-0.023,0.267,True,True,False,6.148014830870408,Ahmadzadeh_refined
36.895583,54.75462086658124,18.65850438890905,21.169312365566775,309.0,3,137.6568207933724,0.14032295697591476,2.13879773523196,3.9330000000000003,-1.8252022647680397,0.054,-0.023,0.267,True,True,False,6.146154785318973,Ahmadzadeh_refined
36.896481311174995,54.751251,18.59698282596108,21.115107630061736,292.0,3,138.0932433799002,0.14076783219153946,2.140172429957265,3.9330000000000003,-1.8238275700427349,0.054,-0.023,0.267,True,True,False,6.148446902566545,Ahmadzadeh_refined
36.896481311174995,54.752374288860416,18.645868046916924,21.158175611877258,292.0,3,137.74629935808912,0.14041416856074324,2.1390799400831693,3.9330000000000003,-1.8249200599168307,0.054,-0.023,0.267,True,True,False,6.146625281937581,Ahmadzadeh_refined
36.896481311174995,54.75349757772083,18.695162662707894,21.201629819075404,292.0,3,137.3977124868074,0.14005883026178123,2.137979502282289,3.9330000000000003,-1.8260204977177108,0.054,-0.023,0.267,True,True,False,6.144790735964707,Ahmadzadeh_refined
36.896481311174995,54.75462086658124,18.744863443492733,21.24546788176693,295.0,3,137.04753245148092,0.13970186794238626,2.1368712204493727,3.9330000000000003,-1.827128779550627,0.054,-0.023,0.267,True,True,False,6.1429434461544155,Ahmadzadeh_refined
36.89737962234999,54.751251,18.684159903834566,21.191928447219222,292.0,3,137.47540880836877,0.140138031405065,2.138225019810216,3.9330000000000003,-1.8257749801897842,0.054,-0.023,0.267,True,True,False,6.145200011090477,Ahmadzadeh_refined
36.89737962234999,54.752374288860416,18.7328170597172,21.23484012166872,292.0,3,137.13229077764834,0.1397882678671237,2.137139730904219,3.9330000000000003,-1.8268602690957811,0.054,-0.023,0.267,True,True,False,6.143390970008868,Ahmadzadeh_refined
36.89737962234999,54.75349757772083,18.781882898331936,21.278137258854535,292.0,3,136.78753384183156,0.13943683368178547,2.136046519676511,3.9330000000000003,-1.827953480323489,0.054,-0.023,0.267,True,True,False,6.141569048298469,Ahmadzadeh_refined
36.89737962234999,54.75462086658124,18.831354225154566,21.321817510551174,295.0,3,136.44118695893712,0.1390837787552876,2.134945488861088,3.9330000000000003,-1.8290545111389118,0.054,-0.023,0.267,True,True,False,6.139734425438746,Ahmadzadeh_refined
36.89827793352498,54.751251,18.771461566932164,21.268939074594467,292.0,3,136.86065425924295,0.139511370294845,2.1362786118001416,3.9330000000000003,-1.8277213881998584,0.054,-0.023,0.267,True,True,False,6.141955820585924,Ahmadzadeh_refined
36.89827793352498,54.752374288860416,18.819892447251583,21.311695186589855,292.0,3,136.52131813932778,0.13916546191572657,2.1352004728227807,3.9330000000000003,-1.8287995271772193,0.054,-0.023,0.267,True,True,False,6.140159269870018,Ahmadzadeh_refined
36.89827793352498,54.75349757772083,18.868731287272656,21.354835995420384,292.0,3,136.18034726083664,0.13881788711604143,2.1341144372976983,3.9330000000000003,-1.8298855627023016,0.054,-0.023,0.267,True,True,False,6.138349883537303,Ahmadzadeh_refined
36.89827793352498,54.75462086658124,18.917974927411947,21.39835917434295,295.0,3,135.83778986400972,0.13846869507034631,2.1330206068098203,3.9330000000000003,-1.8309793931901799,0.054,-0.023,0.267,True,True,False,6.136527839060605,Ahmadzadeh_refined
36.89917624469997,54.751251,18.858886085299183,21.34613745805763,292.0,3,136.24898337295988,0.13888785257182454,2.1343332704557563,3.9330000000000003,-1.8296667295442435,0.054,-0.023,0.267,True,True,False,6.138714443768115,Ahmadzadeh_refined
36.89917624469997,54.752374288860416,18.907092463725164,21.388738752714076,292.0,3,135.91338548773277,0.13854575482949313,2.13326223051609,3.9330000000000003,-1.8307377694839102,0.054,-0.023,0.267,True,True,False,6.1369302944989,Ahmadzadeh_refined
36.89917624469997,54.75349757772083,18.955706068309983,21.431723975176702,292.0,3,135.57615718555138,0.13820199509230519,2.132183319964618,3.9330000000000003,-1.831816680035382,0.054,-0.023,0.267,True,True,False,6.135133354909383,Ahmadzadeh_refined
36.89917624469997,54.75462086658124,19.004723774024562,21.475090819993625,295.0,3,135.2373459985173,0.1378566218129636,2.131096639249094,3.9330000000000003,-1.8329033607509062,0.054,-0.023,0.267,True,True,False,6.133323800486442,Ahmadzadeh_refined
